Model_Code,c40HC
DLGX5801A,90
DLGX6501B,90
DVH9-09W,150
DFB325HM,160
WK22GGS6,44
DF587HMS,160
GR-F892PFBQ,51
GR-X39FMKBL,24
GRSN266LLP,57
DLG8201W,90
DLEX6500W,90
DLEX9900B,56
WS9D7673CB,216
LDNTM545D,142
DLE7010W,90
LM85SXD,24
WS7D7631WB,216
ARNU36GM2A4,168
W4W8BVKK2HM,51
CWG27MDCRS,90
WCEP6427F,84
CWT29MDOHS,56
AMNW24GL3A2,240
AS65GDBY0,405
SWWE50W4,42
LSIS6338F,84
WR-10B,150
R-3D288BINS,30
R723MG,51
RC82V9AVHN,150
RH10V9AV4W,150
RH10W86VKP2,150
DFC513FM,160
SC5MBH,51
ETON18LU5,24
F4NQ18N2XA0,140
WSEP4723F,126
DLGX9901S,56
FH069FD2MS,90
DFB325HD,160
S4NW36R43FB,322
ARUN220LTH5,24
AMNW24GTTC0,287
DB597TXS,160
GT-B6085EP,51
DB375TXS,160
HM123HF,56
KCHH040LDGC,7
LDNPH753D,142
ARUN140LTH5,24
LDPS6762S,142
LF29S8330S,26
LSDL6336F,84
DF22VV2SR,90
DF22WV2RE,90
CWT29CDOHS,56
CDT29MSQES,56
AMNW18GL2A2,300
ARUN080LSH0,42
LSEL633CF,84
CDG27MUCES,90
ARUN260LTE5,24
VF29XPBM,26
AS651DWT0,405
S3BF,72
RV1840CD7,56
AMNW09GTUA0,440
WS7D7610G,216
DB965TKS,160
DF22BFXS6BK,90
RC8TV9AVHN,150
WK22WS6P,44
ARUM160LTE5,24
ABNQ36GM3T1,168
DBC425TS,160
DF10BS6R,150
GDL1329CGW7,90
GDL1329CGS7,90
FWT2116SS,44
ARNU96GB8A4,70
DT73PBTX,90
DT25WTGKE,90
RH10V9AV2W,150
R723WG,51
NEOM1,57
DFC532FW,160
LTB852PFBQ,51
LSIS6338FE,84
DF20VV2W,90
DB476TXSW,160
SC5MBR80H,51
WM6998HVA,84
DB475TXS,160
LSGL6335F,84
ARUN100LSS5,42
RV10VHP3W1,150
RHX7010TWB,150
RH90V9AV3N,150
S3MFC,72
TLD1840CGS,56
TCWM2013CD3,56
SWWE50N3,42
SRSXB2622S,30
SC5MNR4G,51
AS101DBY0,260
AMNW18GTTC0,287
APNQ48LT3S1,74
DF22VV2SBRE,90
DF22SFXS6BK,90
DF22BV2SR,90
LDPH5554S,142
DFB424FP,158
DFB335HM,135
WDP6A,270
ARUN200LTH5,24
LDNTH753D,142
LDFN4542B,142
ARNU54GM3A4,144
KCHH067LDGC,5
HM163HF,56
HM073HF,54
GTFV61SEBQD,51
GRTF622PQHR,51
ETON22LU5,24
SC5GMR4G,51
SC5FG,51
S4UW30L43FA,104
DLGX9901B,56
WSED7665B,216
ARUM160LTE6,23
ABUQ48GM3T1,52
F4NQ25N2XA0,140
FH0C7FD2M,56
AMNW09GL1A2,300
WT-SD250HB,252
ETON16LU5,24
GCWM1069CD7,90
GDL1329CES7,90
GM81SXD,26
DF142FV,160
DF10BS6,150
DT22EGTX,90
DXH9-09MB,150
XD3A25MB,158
XD5B14WH,158
DF273FW,160
DF273FWS,160
GR-F892PQBQ,51
GR-H842HLHM,51
GR-T69L622S,51
DLHC5502V,84
DF20VV2WE,90
DF22BFXS6B,90
DF22BV2SGR,90
DF273FV,160
DLGX4081B,90
AMNW12GTUC0,440
WK25GGS6,42
DF74BFXS6BE,90
WF4A012C2TA,432
CWT29MDORS,56
CWT29MSORS,56
CWT29MSQRS,56
WD-S1916B,42
CDG27RUQPS,90
CWG27MDORW,90
SW362H8,322
GTBV61PYBQD,51
HN1600MC,303
TLD1840CES,56
AS251CBZ0,256
ARNU18GTQB4,432
SC5GMR40G,51
DFC425FW,160
ARUN120LTH5,30
KCAH060LDTC,5
KCAH067LDTC,5
KCHH017LDGC,14
KCHH045LDGC,7
KCHH050LDGC,5
S3CW,72
RV1840C7,56
ARNU48GTYA4,120
ARUM260LTE6,15
ARNU48GM3A4,144
KCHH060LDGC,5
RV1329C7T,90
LDNPM545D,142
ARUN050LSS5,110
ARNU24GM1A4,224
RHX1009NNK,150
LF31T6230S,26
LFDFD4441T,160
ARNU24GTTB4,320
RH10W8QVKP2,150
LK14S8000V,28
LPGU6319Y,56
RC91V9AVSN,150
ARNU28GM2A4,168
ARUN100BSS0,42
LTGL6937D,84
LRYKC2606D,40
ARUN080LSS0,52
LSEL6333ZE,84
ARUN080LSS5,52
LRMVC2306S,30
DKW,936
ZRUM048GSS0,52
ZRUM100LTE6,28
WSED7613S,216
ABNQ48GM3T1,144
ABUQ36GM3T1,110
WT2116BRK,44
FH0C7FD2MS,56
FH0C7FD4MS,56
GDL1329CED8,90
GDL1329CGD7,90
ARUM180LTE5,24
DFC612FWE,160
ARUN060LSH0,52
ARUN060LSS0,52
DFC612FV,160
DK1S,1944
DK1W,1944
ARUN080LTH5,30
ARNU42GM2A4,168
LSWD100X,102
ARUN080BSS0,52
ARNU36GTYA4,120
LSEL6335ZE,84
ARUN100LSS0,43
LTEL7337F,84
LRFXS3106S,26
MU5M40,110
RC81V9AV3N,150
RC81V9AV4N,40
RC91V9AVRN,150
RH1077SVK,150
RH10V9JV2W,150
ARUN100LSH0,42
RH10W8QVKP,150
RV1329C4T,90
LF29H8330D,26
LF29S9730S,26
ARUN050LSS0,52
ARNU18GTTB4,320
LDP6810BD,142
LDP6810SS,142
LDPH6762S,142
LDPM6762S,142
LDPN4542W,142
RH80V9AV4N,150
RH80V9AVHN,150
RH90V9AV4N,150
ARUN102LTE6,23
ARUN120LSS0,43
DLEX5500V,90
ARNU76GB8A4,70
KNSAL181A,364
ARUM200LTE6,23
S3BNF,72
S3GHM,72
ARUN120LTE5,30
RX10VHP3K,150
ARUN160LTE5,24
ARUM216DTE5,24
KCHH020LDGC,14
KCHH033LDGC,7
ARUM240LTE6,15
DLG6101M,90
DLG8201L,90
S3RFBN,72
S3WF,72
ARNU18GM1A4,224
ARUN180LTH5,24
ARUN140LTE5,24
ARUN160LTH5,24
ARUN260LLS5,24
S4NW30L43FA,364
SC5GMR8GH,51
ARUN220LTE5,24
SDWB24S3,142
ARNU15GM1A4,224
DFC237HVS,160
HM143HF,56
HU161MRX,52
KCAH045LDTC,7
UB250,56
UU250W,42
CDG27MUCPS,90
CDG27RUCNS,90
CDG27RUOES,90
ARNU09GTUB4,440
WCEP6423D,84
CWG27MSQRS,90
WD200CB,140
WD300CV,252
WD405CB,140
CWT29MDCRS,56
CDT29MUCPS,56
DB273TX,160
APUQ100LFK0,42
WD-M069BD3S,90
WD-M0C7FD2S,56
WD-M0C7FD3S,56
APNQ100LFK0,40
DF587HVS,160
DF455HSS,160
DF50MV2S6WE,90
AMNW18GTTA0,320
WK25GBS6,42
DF74BFXS6B,90
DF74VFXS6B,90
DF74VFXS6BE,90
DF273FVS,160
DB976TKS,160
DF455HMS,160
WK25GGS6E,42
WKGX201HWA,44
AMNW09GTUC0,440
ARUM180LTE6,23
DLGX4081W,90
GR-X24FQEKM,36
GR-A24FQSMB,36
ARUM100LTE6,28
WS7D7610S,216
DF20WV2EW,90
WSED7612B,216
AMNW12GTUA0,440
ZRNU09GM1AA,210
ZRUM036GSS0,52
DB476TXSN,160
GR-T69L622W,51
DLHC6702B,84
DLHC8402B,84
DT22EWTX,90
DT22PBTX,90
DT73EWTX,90
DVH10-10B,150
ETON10MLUA,42
DF10BVC2S6R,150
ZRUV050GSD5,52
WT2116NHEG,44
F621GE65B,36
FH069FDMS,90
WT-SD250HW,252
ETON14LU5,24
ETON26LU5,24
LSGL6337X,84
ARUN060LSS5,110
WT1716BBF,44
XD3A15NS,158
ZRUM096BTE6,23
ZRUM120LTE6,28
ZRUM216DTE6,15
05908111,1000
10526AA,612
10536AA,612
10570AA,270
10571AA,294
10580AA,270
10581AA,294
10610AA,600
10620AA,600
10631AA,432
10641AA,234
10710AA,432
10720AA,432
12700D,270
12800D,270
13500D,600
13600D,600
13701D,432
13801D,234
14357,140
14673,140
14677,140
14693,141
14697,141
17025,16055
191D7830G,180
191D7831G,176
191D7832G,176
191D7833G,192
191D9179G,200
1972,252
1973,252
1992,168
1993,168
20571A,294
20581A,294
20710A,432
20720A,432
23701D,432
23801D,234
24042377,5760
24287574C,5760
24290507C,5760
24295887,5760
24295887C,5760
29002,90
29478,90
2B252VM,108
2B257BMCX,36
2B257DBMX,36
2B257EMCX,36
2B282RPHG,91
2B282RPHL,80
2B282SLHG,91
2B282SLHL,80
2B282SPHG,91
2B292SLBN,80
2B312PXCB,73
2B332PLCB,73
2B372RLCB,73
2B372RXCB,73
2B392PXBB,66
2B402RXCB,72
2B432HLHL,67
2B502HXHL,66
2D282RLHG,91
2D282RPHG,91
2M213,25920
2M214,23040
2M226,23040
2M246,23040
2M252VM,109
2M278,3840
2M282VM,83
2M285,3840
2M286,23040
2M290,3840
2M292RLNL,77
2M292RPNL,77
2M809,23040
2PB252VM,109
2PB282RPHL,80
2PB282SLHG,91
2PB282SLHL,80
2PB282SPHG,91
2PD282RLHG,91
2PD282RPHG,91
2PM252VM,108
2PM282VM,83
2R302RLBN,75
2R302RPBN,75
301D1353G,176
31402,90
31412,90
31422,90
31423,90
31433,90
31452,102
31462,90
31463,90
31513,90
31525,90
31552,90
31553,90
31622,90
31623,90
327136P1,25272
327137P1,25872
32CS560,672
32LB530U,920
32LB550A,1080
32LB550A-TA,1080
32LB551B,1080
32LB551D,1350
32LB551D-TC,1350
32LB552U,1350
32LB555B,1350
32LB561B,1350
32LF510D,1275
32LF550U,1350
32LF550U-TA,1350
32LF550U-ZA,1350
32LF551U,1350
32LF560D,1350
32LF560D-TB,1350
32LM581CBND,1160
32LN540B,920
37LM580S,880
3M302RLNL,75
3M302RPNL,75
3MXM60MA0,171
40448,90
41002,90
41003,90
41072,90
41073,90
41162,90
41182,90
41282,90
41283,90
41303,90
41362,120
41382,90
41383,90
41393,90
41462,120
41463,120
41482,90
41483,90
41542,90
41562,120
41563,120
41573,90
41582,90
41583,90
41682,90
41683,90
41782,90
41783,90
41962,90
41963,90
41982,90
41983,90
42664213C,3840
42679724,3840
42733159,3840
42733159C,3840
42746987,3840
42771748,3840
42771748C,3840
42781691C,3840
42793782C,3840
42LB550A,676
42LB551T,824
42LB551T-TC,824
42LB552V,824
42LB5610,824
42LB5650,824
42LF550T,824
42LF550V,824
42LF550V-ZA,824
42LF560T,824
42LF560T-TB,824
42LF651V,676
42LN5400,632
43LF540T,674
49LK5750PUA,420
49UB820V,390
4MXM80MA0,104
5001AR2127D,17
51012,24
51013,24
51014,24
51016,24
51019,24
51022,24
51023,24
51024,24
51026,24
51029,24
51032,24
51033,24
51034,24
51036,24
51039,24
51042,168
51043,168
51072,24
51073,24
51074,24
51076,24
51079,24
51082,24
51083,24
51086,24
51089,24
51092,24
51093,24
51099,24
51122,270
51123,270
51312,26
51313,26
51314,26
51316,26
51319,26
51322,26
51323,26
51326,26
51329,26
51372,26
51373,26
51374,26
51376,26
51379,26
51733,24
51737,24
51812,26
51813,26
51814,26
51819,26
51822,26
51823,26
51829,26
51832,24
51833,24
51835,24
51839,24
51973,252
51992,168
51993,168
55EW960H,243
55EW960H-UA,243
55UB820V,351
55UB950T,351
58812,24
58813,24
58814,24
58816,24
58819,24
58822,24
58823,24
58826,24
58829,24
5MXM100MA0,104
60H100BV24A,20000
60H100BV24B,20000
61412,90
61422,90
61423,90
61432,90
61433,90
61462,90
61463,90
61513,90
61552,90
61553,90
61622,90
61623,90
65LM620T,114
66612,40
66619,40
66622,40
66712,40
66722,40
66723,40
66937,8
68002,40
68003,40
68006,37
68009,40
68032,26
68033,26
68036,24
68039,26
68272,26
68274,26
68279,26
69002,40
69004,40
69009,40
69212,41
69213,41
69214,41
69219,41
69292,41
69293,41
69294,41
69299,41
69372,41
69373,41
69374,41
69376,41
69379,41
69382,41
69383,41
69384,41
69389,41
69912,42
69913,42
69914,42
69919,42
69922,42
69923,42
69924,42
69929,42
69972,42
69973,42
69974,42
69976,42
69979,42
69982,42
69983,42
69984,42
69989,42
70322,26
70323,26
70329,26
70332,26
70333,26
70339,26
70355,28
70357,28
71032,26
71033,26
71036,26
71039,26
71049,24
71052,24
71053,28
71059,24
71302,26
71303,26
71304,26
71306,26
71309,26
71312,26
71322,40
71323,40
71329,40
71352,24
71355,26
71412,90
71415,26
71417,26
71419,26
71422,90
71423,90
71432,90
71433,90
71462,90
71463,90
71513,90
71552,90
71553,90
71602,26
71603,26
71604,26
71606,26
71609,26
71622,90
71623,90
72032,26
72033,26
72039,26
7210RA,73
72122,40
72123,40
72129,40
72193,24
72302,24
72303,24
72309,24
7240AI,141
7241AI,171
72482,22
72483,22
72489,22
72492,24
72493,24
72495,24
72499,24
72595,24
72597,24
73033,26
73052,24
73053,24
73054,24
73055,24
73059,24
73063,24
73065,24
7310,73
73102,24
73105,24
73107,24
73109,24
7311,52
73115,24
73132,26
73133,26
73139,26
73153,24
73157,24
73163,24
73165,24
73167,24
74012,24
74013,24
74015,24
74019,24
74022,24
74023,24
74024,24
74025,24
74027,24
74029,24
74032,24
74033,24
74039,24
74042,28
74043,28
74049,28
74053,28
74063,24
74073,24
74077,24
74092,24
74093,24
74099,24
74102,24
74105,24
74109,24
7410A,73
74113,24
74142,26
74145,26
74147,26
74149,26
74302,24
74305,24
74309,24
74405,24
74407,24
75043,28
75065,28
75067,28
75075,28
75077,28
75312,41
75313,41
75319,41
75322,41
75323,41
75324,41
75329,41
75SM9000PLA,116
76033,60
76037,60
76202,26
76203,26
76204,26
76209,26
77042,26
77045,26
77049,26
77087,523
77107,300
77127,300
77157,192
77187,192
77247,192
77326,8
77EG9700,64
78002,40
78003,40
78006,37
78009,40
78032,26
78033,26
78036,24
78039,26
78092,40
78093,40
78094,40
78099,40
78272,26
78274,26
78279,26
78302,24
78304,24
78306,24
78309,24
78312,24
78314,24
78316,24
78319,24
78342,24
78343,24
78344,24
78346,24
78349,24
78352,24
78353,24
78354,24
78356,24
78359,24
78402,24
78403,24
78404,24
78406,24
78409,24
78412,24
78413,24
78414,24
78416,24
78419,24
79002,40
79004,40
79009,40
79012,42
79013,42
79014,42
79019,42
79024,28
79292,41
79293,41
79299,41
79302,41
79303,41
79304,41
79309,41
79372,41
79374,41
79376,41
79379,41
79402,40
79403,40
79409,40
79412,40
79413,40
79419,40
79432,26
79433,26
79439,26
79442,26
79443,26
79912,42
79913,42
79919,42
79972,42
79974,42
79976,42
79979,42
79UG8800,112
81072,56
81073,56
81182,90
81282,90
81283,90
81362,90
81382,90
81383,90
81392,90
81393,90
81462,90
81463,90
81562,90
81563,90
81582,90
81583,90
81592,90
81593,90
81782,90
81783,90
81962,56
81963,56
81982,56
81983,56
87583,280
87587,280
88640,8
8X-URBAN-K,903
91182,90
91282,90
91283,90
91362,90
91382,90
91383,90
91392,90
91393,90
91462,90
91463,90
91562,90
91563,90
91582,90
91583,90
91782,90
91783,90
91962,56
91963,56
91982,56
91983,56
9305DA,73
9365D,73
9395,73
9396,52
96043,84
96047,84
9990,2160
9CM2315VD1,1075200
9CM2315VD2,115200
9CM2315VD3,115200
9CM2315WD1,151200
9CMA813PDA,34560
9GW9718502,57600
9GW9718503,57600
9GW97185A1,57600
9GW97185D3,57600
9GW97185D4,57600
9GW97185D5,57600
9LH00B58802,2560
9LH00N5VVX1,42336
9PSA2B1T520,86400
9PSA2B2T520,86400
9PSA2B3T520,86400
9PSA2N2T520,110880
9PSA2N3T520,86400
9PSA2N4T520,86400
9SD131VVDA,151200
9SD441PVDA,144000
9SD441TVDA,144000
9SD751TVDA,190080
9SD751TVDB,190080
9SDA81TVDA,77760
9SDA81VVDA,85536
9SDA81WWD1,85536
9SMA1N2B8A2,59400
9SMA1N4B8A2,59400
9SMB2B1B5C2,59400
9SMB2B2B5C2,59400
9SSA2B1B520,99792
9SSA2B1T520,110880
9SSA2B2B520,99792
9SSA2B2T520,110880
9SSA2S4B520,99792
9VS570V5DA,151200
9ZS52055DA,570240
A005KEEN261,512
A092CR,720
A096JH,780
A096TH,648
A09AHE,594
A09AHU,316
A09AW1,612
A09AWU,316
A09BSJ1,880
A09FR,612
A09FT,612
A09GA1,450
A09GA2,450
A09GA2N,450
A09GA2U,312
A09IWK,671
A09LH1,612
A09LH2,612
A09LHE,594
A09LHH,594
A09LHM,594
A09LHR,594
A09LHU,489
A09LKH,594
A09LKR,594
A09LKU,316
A09LL,680
A09NRK,648
A09NWK,648
A09RK,648
A09RL,648
A09UWK,316
A09VK,648
A09WK,648
A09WL,648
A10LCN,864
A10LCU,320
A11RJH,780
A122CL,675
A122CR,720
A122CS,612
A122CX,612
A122HL,603
A122HR,720
A122NC,1115
A122NH,1115
A126JH,780
A126TH,648
A12AHU,316
A12AW1,612
A12AWE,612
A12AWG,612
A12AWU,316
A12BSJ1,880
A12CMH,880
A12FR,612
A12FT,612
A12GA1,450
A12GA2,450
A12GA2N,450
A12GA2U,312
A12IWK,671
A12LH1,612
A12LH2,612
A12LHE,594
A12LHH,594
A12LHR,594
A12LHU,489
A12LL,680
A12NRK,648
A12NWK,648
A12RK,648
A12RL,648
A12UWK,316
A12VK,648
A12WK,648
A12WL,648
A13LCN,864
A13RJH,880
A1828P,488
A1828Q,488
A182CL,456
A182CR,450
A182HL,488
A182HR,450
A182RC,488
A182RH,488
A182SC,488
A182SH,488
A186KH,504
A186TH,488
A18BSL1,550
A18CMH,550
A18LCN,500
A18LH1,430
A18LHU,272
A18RK,488
A18RL,488
A18VK,488
A18WK,488
A1908GD5GE0,43200
A1908JD5GE0,43200
A1912FD1DEC,34560
A1912FD5DEC,43200
A1912GD0GE1,34560
A1912GD0GE2,34560
A1912GD0GEB,34560
A1912GD1GE1,34560
A1912GD1GEB,34560
A1912GD5GE1,43200
A1912GD5GEB,34560
A1912JD5GE1,43200
A1914GC0GG1,24000
A1914GC1GG1,24000
A19RKH,550
A23TNC,550
A2424C,367
A2424H,367
A2428P,488
A2428Q,488
A242CL,488
A242CR,450
A242HL,488
A242HR,450
A242RC,488
A242RH,488
A242SC,488
A242SH,488
A243FR-N,550
A246KH,504
A246TH,488
A24BSK1,550
A24CMH,550
A24LH3,430
A24LHU,171
A24RKH,550
A2530TE10BA,1904
A2530TE1YBA,1904
A2530TS00BA,1904
A2530TS0YBA,1904
A2530TT10BA,1904
A2530TT1YBA,1904
A2530TT1YBB,1904
A2540TE10BA,1904
A2540TE1YBA,1904
A2540TS00BA,1904
A2540TS0YBA,1904
A2550TS00BA,1904
A2550TS0YBA,1904
A27TNC,550
A2NC106LDA0,851
A2NC126LFA0,851
A2NH106NDA0,851
A2UC146FA0,296
A2UC183FA0,171
A2UC186FA0,171
A2UC196LA0,171
A2UC216LA0,171
A2UH146FA0,296
A2UH196NA0,171
A2UQ166FA0,316
A2UQ186FA3,186
A2UQ18GFA0,316
A2UQ18GFA1,316
A2UQ18GFA3,171
A2UQ18GFAB,316
A2UQ18GFD0,316
A2UQ18GFD1,312
A2UW146FA1,171
A2UW146FA2,316
A2UW146FA3,316
A2UW146FA5,316
A2UW146FA6,124
A2UW14GFA0,316
A2UW14GFA1,316
A2UW14GFA2,316
A2UW166FA0,316
A2UW166FA1,316
A2UW166FA5,316
A2UW16GFA0,316
A2UW16GFA1,316
A2UW16GFA2,316
A2UW183FA1,171
A2UW183FA2,171
A2UW186FA0,171
A2UW18GFA0,171
A2UW18GFA1,171
A2UW18GFA2,316
A2UW18GFAA,316
A2UW18GFAB,288
A2UW18GFAC,316
A2UW18GFH0,110
A3024C,367
A3024H,367
A320S,71
A325S,69
A325W,69
A326S,69
A326SR,69
A327S,54
A327SR,54
A327W,54
A328M,54
A328MB,54
A328MBR,54
A328MR,54
A328S,54
A328SR,54
A328W,54
A328WR,54
A3NC096LLA0,851
A3NC126LLA0,836
A3UC206LA0,171
A3UC216FA0,171
A3UC242FA0,171
A3UC306LA0,171
A3UH216FA0,171
A3UQ186FA1,171
A3UQ186FA2,171
A3UQ18GFA0,316
A3UQ24GFA3,171
A3UQ24GFAB,316
A3UQ24GFD0,316
A3UQ24GFD1,312
A3UQ26GFA0,171
A3UQ26GFA4,171
A3UQ30GFD0,186
A3UQ30GFD1,171
A3UQ34GFAB,171
A3UW186FA0,171
A3UW186FA3,171
A3UW186FA5,171
A3UW18GFA0,171
A3UW18GFA1,171
A3UW18GFA2,171
A3UW18GFA3,171
A3UW18GFA4,171
A3UW216FA3,171
A3UW216FA4,171
A3UW216FA5,171
A3UW21GFA0,171
A3UW21GFA1,171
A3UW21GFA2,171
A3UW21GFAC,316
A3UW243FA1,171
A3UW243FA2,171
A3UW246FA0,171
A3UW24GFA0,171
A3UW24GFA1,171
A3UW24GFA2,171
A3UW24GFA3,171
A3UW24GFAA,171
A3UW24GFAB,171
A3UW24GFH0,110
A3UW36GFAA,110
A3UW36GFAB,104
A4MQ26GFA2,171
A4UC302FA0,171
A4UC306FA0,114
A4UH306FA0,114
A4UN306FA0,171
A4UQ266FA2,171
A4UQ266FA3,186
A4UQ26GFA0,171
A4UQ26GFA1,171
A4UQ26GFA2,171
A4UQ28GFA0,171
A4UQ306FA2,110
A4UQ30GFA0,110
A4UQ36GFA3,110
A4UQ36GFD0,110
A4UW246FA0,171
A4UW246FA1,171
A4UW246FA3,171
A4UW246FA4,171
A4UW246FA5,171
A4UW24GFA0,110
A4UW24GFA1,110
A4UW24GFA2,110
A4UW24GFA3,171
A4UW24GFA4,171
A4UW24GFT0,110
A4UW276FA5,110
A4UW27GFA0,110
A4UW27GFA1,110
A4UW27GFA2,110
A4UW27GFA4,104
A4UW302FA0,171
A4UW306FA0,114
A4UW306FA2,104
A4UW30GFA0,110
A4UW30GFA2,110
A4UW30GFH0,110
A4UW363FA0,171
A4UW363FA1,171
A4UW363FA2,110
A4UW36GFA0,110
A5UC382FA0,110
A5UQ36GFA0,110
